temple,instructionrooms,sealingrooms,baptismrooms,squarefootage,acreage,stakes,districts,all_units,elevation_ft,tower_spire,att_tower_spire,angelmoroni,announcement,groundbreaking,dedication,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate,type,lat,long,prophet,interval,prophet_start,prophet_end
Billings Montana Temple,2,3,1,33800,10,10,0,10,NA,1,Attached,Yes,1996-08-30,1998-03-30,1999-11-20,"Billings, Montana, United States",OPERATING,20 November 1999,58,billings-montana-temple,Billings, Montana,United States,"November 20, 1999",NA,45.7874957,-108.49607,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Birmingham Alabama Temple,2,2,1,10700,5.6,10,0,10,662,1,Attached,Yes,1998-09-11,1999-10-09,2000-09-03,"Gardendale, Alabama, United States",OPERATING,3 September 2000,36985,birmingham-alabama-temple,Gardendale, Alabama,United States,"September 3, 2000",NA,33.6601033,-86.8127702,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Bismarck North Dakota Temple,2,2,1,10700,1.6,4,0,4,NA,1,Attached,Yes,1998-07-29,1998-10-17,1999-09-19,"Bismarck, North Dakota, United States",OPERATING,19 September 1999,36552,bismarck-north-dakota-temple,Bismarck, North Dakota,United States,"September 19, 1999",NA,46.808327,-100.783739,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Bogotá Colombia Temple,4,3,1,53500,3.71,22,7,29,NA,1,Attached,Yes,1984-04-07,1993-06-26,1999-04-24,"Bogotá, Distrito Capital, Colombia",OPERATING,24 April 1999,31,bogota-colombia-temple,Bogotá, Distrito Capital,Colombia,"April 24, 1999",NA,4.6529539,-74.0835643,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Boise Idaho Temple,4,4,1,35868,4.83,16,0,16,NA,6,Detached,Yes,1982-03-31,1982-12-18,1984-05-25,"Boise, Idaho, United States",OPERATING,25 May 1984,23,boise-idaho-temple,Boise, Idaho,United States,"May 25, 1984",NA,43.6166163,-116.200886,Spencer W. Kimball,1973-12-30 UTC--1985-11-05 UTC,1973-12-30T00:00:00Z,1985-11-05T00:00:00Z
Boston Massachusetts Temple,4,4,1,69600,8,13,0,13,331.2,1,Attached,Yes,1995-09-30,1997-06-13,2000-10-01,"Belmont, Massachusetts, United States",OPERATING,1 October 2000,17,boston-massachusetts-temple,Belmont, Massachusetts,United States,"October 1, 2000",NA,37.5164926,-122.2941914,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
Bountiful Utah Temple,4,8,1,104000,9,51,0,51,NA,1,Attached,Yes,1990-02-02,1992-05-02,1995-01-08,"Bountiful, Utah, United States",OPERATING,8 January 1995,32,bountiful-utah-temple,Bountiful, Utah,United States,"January 8, 1995",NA,40.8894611,-111.8804817,Ezra Taft Benson,1985-11-10 UTC--1994-05-30 UTC,1985-11-10T00:00:00Z,1994-05-30T00:00:00Z
Brasília Brazil Temple,2,2,1,25000,6,NA,NA,NA,NA,1,Attached,No,2017-04-02,2020-09-26,2023-09-17,"Brasilia, Brazil",CONSTRUCTION,Construction,4098471,brasilia-brazil-temple,Brasilia,,Brazil,,NA,-15.7934036,-47.8823172,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Brigham City Utah Temple,2,3,1,36000,3.14,13,0,13,NA,2,Attached,Yes,2009-10-03,2010-07-31,2012-09-23,"Brigham City, Utah, United States",OPERATING,23 September 2012,4007349,brigham-city-utah-temple,Brigham City, Utah,United States,"September 23, 2012",NA,41.5110434,-112.0154991,Thomas S. Monson,2008-02-03 UTC--2018-01-02 UTC,2008-02-03T00:00:00Z,2018-01-02T00:00:00Z
Brisbane Australia Temple,2,2,1,10700,0.86,12,1,13,76.5,1,Attached,Yes,1998-07-20,2001-05-26,2003-06-15,"Kangaroo Point, Queensland, Australia",OPERATING,15 June 2003,36553,brisbane-australia-temple,Kangaroo Point, Queensland,Australia,"June 15, 2003",NA,-27.473864,153.0367846517436,Gordon B. Hinckley,1995-03-12 UTC--2008-01-27 UTC,1995-03-12T00:00:00Z,2008-01-27T00:00:00Z
